keyword,search_volume,cpc,competition,intent,source_seed
"refinansowanie kredytu hipotecznego w tym samym banku",390,5.13,0.49,"transactional","refinansowanie kredytu hipotecznego"
"alior bank kalkulator kredytu hipotecznego",390,1.99,0.32,"navigational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego millennium",390,1.51,0.32,"navigational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego santander",390,1.15,0.22,"navigational","kalkulator kredytu hipotecznego"
"santander kalkulator kredytu hipotecznego",390,1.09,0.26,"navigational","kalkulator kredytu hipotecznego"
"kalkulator wcześniejszej spłaty kredytu hipotecznego",390,0.64,0.05,"informational","kalkulator kredytu hipotecznego"
"darmowy kalkulator kredytu hipotecznego",390,0.51,0.72,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego bankier",390,0.06,0.28,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego gov",320,0.59,0.11,"informational","kalkulator kredytu hipotecznego"
"doradca kredytowy hipoteczny",260,9.98,0.84,"commercial","kredyt hipoteczny szczecin"
"refinansowanie kredytu hipotecznego ranking",260,1.82,0.8,"commercial","refinansowanie kredytu hipotecznego"
"kalkulator kredytu hipotecznego pekao",260,1.5,0.27,"navigational","kalkulator kredytu hipotecznego"
"millennium kalkulator kredytu hipotecznego",260,1.44,0.31,"navigational","kalkulator kredytu hipotecznego"
"mbank refinansowanie kredytu hipotecznego",260,0.91,0.63,"transactional","refinansowanie kredytu hipotecznego"
"kalkulator kredytu hipotecznego bez wkładu własnego",260,0.81,0.71,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego alior bank",260,0.59,0.22,"navigational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego online",260,0.53,0.75,"informational","kalkulator kredytu hipotecznego"
"refinansowanie kredytu hipotecznego co to jest",210,0.56,0.36,"informational","refinansowanie kredytu hipotecznego"
"kredyt hipoteczny szczecin",210,0.53,0.26,"transactional","kredyt hipoteczny szczecin"
"koszt kredytu hipotecznego kalkulator",210,0.46,0.79,"commercial","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego rankomat",210,0.36,0.5,"informational","kalkulator kredytu hipotecznego"
"nadpłata kredytu hipotecznego pko bp kalkulator",210,0,0.02,"informational","kalkulator kredytu hipotecznego"
"refinansowanie kredytu hipotecznego ing",170,2.1,0.7,"transactional","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego oferty",170,1.94,0.73,"commercial","refinansowanie kredytu hipotecznego"
"pekao kalkulator kredytu hipotecznego",170,1.75,0.27,"navigational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego bez wkladu",170,0.71,0.68,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego bez wkładu",170,0.71,0.68,"informational","kalkulator kredytu hipotecznego"
"kalkulator odsetek kredytu hipotecznego",170,0.45,0.17,"informational","kalkulator kredytu hipotecznego"
"kalkulator odsetkowy kredytu hipotecznego",170,0.45,0.17,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego gofin",170,0,0.01,"navigational","kalkulator kredytu hipotecznego"
"kalkulator nadpłaty kredytu hipotecznego uokik",170,0,0.02,"informational","kalkulator kredytu hipotecznego"
"pko bp refinansowanie kredytu hipotecznego",140,2.57,0.72,"transactional","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego pko bp",140,1.89,0.64,"transactional","refinansowanie kredytu hipotecznego"
"doradca kredytowy stargard",140,1.8,0.57,"commercial","doradca kredytowy szczecin"
"przeniesienie kredytu hipotecznego kalkulator",140,1.78,0.81,"transactional","kalkulator kredytu hipotecznego"
"santander refinansowanie kredytu hipotecznego",140,1.78,0.69,"transactional","refinansowanie kredytu hipotecznego"
"bnp paribas kalkulator kredytu hipotecznego",140,0.96,0.33,"navigational","kalkulator kredytu hipotecznego"
"kalkulator nadpłaty kredytu hipotecznego pko bp",140,0.83,0.05,"navigational","kalkulator kredytu hipotecznego"
"nadpłacanie kredytu hipotecznego kalkulator",140,0.47,0.08,"transactional","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego zdolność",140,0.45,0.7,"informational","kalkulator kredytu hipotecznego"
"kalkulator kosztów kredytu hipotecznego",140,0.41,0.44,"informational","kalkulator kredytu hipotecznego"
"kalkulator kosztu kredytu hipotecznego",140,0.41,0.44,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego money",140,0.02,0.35,"informational","kalkulator kredytu hipotecznego"
"kalkulator nadpłaty kredytu hipotecznego excel",140,0,0,"transactional","kalkulator kredytu hipotecznego"
"kalkulator przeniesienia kredytu hipotecznego",110,1.88,0.8,"transactional","kalkulator kredytu hipotecznego"
"credit agricole kalkulator kredytu hipotecznego",110,1.09,0.64,"commercial","kalkulator kredytu hipotecznego"
"uokik kalkulator kredytu hipotecznego",110,0.7,0.04,"informational","kalkulator kredytu hipotecznego"
"kalkulator nadpłacania kredytu hipotecznego",110,0.48,0.04,"informational","kalkulator kredytu hipotecznego"
"kalkulator oprocentowania kredytu hipotecznego",110,0.43,0.11,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego z wkładem własnym",110,0.31,0.61,"navigational","kalkulator kredytu hipotecznego"
"alior bank refinansowanie kredytu hipotecznego",90,5.18,0.67,"transactional","refinansowanie kredytu hipotecznego"
"bnp paribas refinansowanie kredytu hipotecznego",90,2.28,0.7,"transactional","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego mbank",90,0.88,0.61,"transactional","refinansowanie kredytu hipotecznego"
"lendi kalkulator kredytu hipotecznego",90,0.78,0.18,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego z nadpłatą",90,0.59,0.04,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego otodom",90,0.32,0.5,"navigational","kalkulator kredytu hipotecznego"
"pośrednik kredytowy szczecin",70,8.86,0.28,"commercial","pośrednik kredytowy szczecin"
"pko refinansowanie kredytu hipotecznego",70,4.22,0.76,"commercial","refinansowanie kredytu hipotecznego"
"pekao refinansowanie kredytu hipotecznego",70,3.11,0.71,"informational","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego ze stałym oprocentowaniem",70,1.79,0.79,"commercial","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego santander",70,1.79,0.78,"transactional","refinansowanie kredytu hipotecznego"
"kalkulator zwrotu prowizji kredytu hipotecznego",70,0.61,0.4,"informational","kalkulator kredytu hipotecznego"
"kalkulator zwrotu odsetek kredytu hipotecznego",70,0.55,0.42,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego porównywarka",70,0.47,0.76,"commercial","kalkulator kredytu hipotecznego"
"kredytu hipotecznego kalkulator",70,0.36,0.79,"informational","kalkulator kredytu hipotecznego"
"kalkulator nadpłaty kredytu hipotecznego ing",70,0.3,0.01,"transactional","kalkulator kredytu hipotecznego"
"totalmoney kalkulator kredytu hipotecznego",70,0.03,0.39,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego excel",70,0,0.02,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego 2025",70,0,0,"informational","kalkulator kredytu hipotecznego"
"refinansowanie kredytu hipotecznego millennium",50,2.92,0.68,"transactional","refinansowanie kredytu hipotecznego"
"velobank refinansowanie kredytu hipotecznego",50,2.51,0.74,"transactional","refinansowanie kredytu hipotecznego"
"najlepszy kredyt hipoteczny 2026",50,1.82,0.84,"commercial","najlepszy kredyt hipoteczny"
"nadpłata kredytu hipotecznego kalkulator online",50,0.75,0.08,"transactional","kalkulator kredytu hipotecznego"
"kalkulator raty kredytu hipotecznego ing",50,0.03,0.22,"informational","kalkulator kredytu hipotecznego"
"refinansowanie kredytu hipotecznego koszty",50,0.03,0.23,"commercial","refinansowanie kredytu hipotecznego"
"kalkulator spłaty kredytu hipotecznego gov",50,0,0.01,"informational","kalkulator kredytu hipotecznego"
"refinansowanie kredytu hipotecznego pekao",40,3.05,0.7,"transactional","refinansowanie kredytu hipotecznego"
"doradca kredytowy szczecinek",40,3,0.6,"commercial","doradca kredytowy szczecin"
"refinansowanie kredytu hipotecznego kalkulator ing",40,1.86,0.64,"transactional","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego pko",30,3.47,0.83,"transactional","refinansowanie kredytu hipotecznego"
"millennium refinansowanie kredytu hipotecznego",30,2.85,0.71,"commercial","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego alior bank",30,2.58,0.62,"transactional","refinansowanie kredytu hipotecznego"
"alior refinansowanie kredytu hipotecznego",20,2.06,0.81,"commercial","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego kalkulator pko",20,1.89,0.63,"commercial","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego w tym samym banku pko bp",20,1.59,0.29,"transactional","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego czy się opłaca",20,1.27,0.55,"commercial","refinansowanie kredytu hipotecznego"
"najlepszy kredyt hipoteczny 2025",20,0,0,"commercial","najlepszy kredyt hipoteczny"
"refinansowanie kredytu hipotecznego w tym samym banku ing",20,0,0.15,"transactional","refinansowanie kredytu hipotecznego"
"doradca kredytowy szczecin opinie",10,4.15,0.76,"commercial","doradca kredytowy szczecin"
"refinansowanie kredytu hipotecznego kalkulator mbank",10,1.63,0.48,"informational","refinansowanie kredytu hipotecznego"
"lendi zielonogórska szczecin",10,1.28,0.26,"informational","kredyt hipoteczny szczecin"
"doradca kredytowy szczecin forum",10,0,0,"informational","doradca kredytowy szczecin"
"najlepszy kredyt hipoteczny styczeń 2025",10,0,0,"commercial","najlepszy kredyt hipoteczny"
"refinansowanie kredytu hipotecznego a wakacje kredytowe",10,0,0,"commercial","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego a wkład własny",10,0,0.52,"commercial","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego rodzina na swoim",10,0,0,"commercial","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego 2020",10,0,0,"commercial","refinansowanie kredytu hipotecznego"
"doradca kredytowy szczecin prawobrzeże",0,0,0,"commercial","doradca kredytowy szczecin"
"doradca kredytowy konsolidacja szczecin",0,0,0,"commercial","doradca kredytowy szczecin"
"niezależny doradca kredytowy szczecin",0,0,0,"commercial","doradca kredytowy szczecin"
"doradca kredytowy szczecin wojska polskiego",0,0,0,"commercial","doradca kredytowy szczecin"
"refinansowanie kredytu hipotecznego 2017",0,0,0,"commercial","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego 2018",0,0,0,"commercial","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego 2019",0,0,0,"informational","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego millenium",0,0,0,"transactional","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego bzwbk",0,0,0,"transactional","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego z dodatkową gotówka",0,0,0,"commercial","refinansowanie kredytu hipotecznego"
"refinansowanie kredytu hipotecznego opinie",0,0,0,"commercial","refinansowanie kredytu hipotecznego"
